ldrhlt;Acesso à memória
mcrcc;Coprocessadores
ldrhteq;Acesso à memória
addne;ULA
ldccs;Coprocessadores
ldmdaeq;Acesso à memória múltiplo
stmdbpl;Acesso à memória múltiplo
strh;Acesso à memória
strbmi;Acesso à memória
cfsh32cs;Coprocessadores
vldrpl.16;Operações com vetores
ldr;Acesso à memória
blpl;Desvios
vnmlseq.f32;Operações com vetores
b;Desvios
bpl;Desvios
stmdbne;Acesso à memória múltiplo
mrccc;Coprocessadores
sbccc;Acesso à memória
strbcc;Acesso à memória
addshi;ULA
ldc2;Coprocessadores
ldrgt;Acesso à memória
rpwnee;ULA com PF
ldmgt;Acesso à memória múltiplo
sbceq;Acesso à memória
ldmdbcs;Acesso à memória múltiplo
adc;ULA
cfmadd32cs;Coprocessadores
orrcs;ULA
svcgt;Modo supervisor
mvnsne;ULA
ldmdbeq;Acesso à memória múltiplo
svceq;Modo supervisor
eorge;ULA
ldcvc;Coprocessadores
ldrbcs;Acesso à memória
smlaldne;Coprocessadores
lfmlt;Acesso a memória com PF
ldrshteq;Acesso à memória
adfles;ULA com PF
vmlane.f32;Operações com vetores
smlabtlt;Coprocessadores
strgt;Acesso à memória
cfsh32vs;Coprocessadores
strbtcs;Acesso à memória
ldm;Acesso à memória múltiplo
svc;Modo supervisor
vstr.16;Operações com vetores
sbcspl;Acesso à memória
bxne;Desvios
rscspl;ULA
adceq;ULA
mrrcpl;Coprocessadores
fmlvce;ULA com PF
mrsne;Coprocessadores
ldrbtne;Acesso à memória
movle;ULA
sfmlt;Coprocessadores
smladxcs;Coprocessadores
tstcs;ULA
vrshl.u8;Operações com vetores
lfmne;Acesso a memória com PF
ldmlt;Acesso à memória múltiplo
movw;ULA
ldrtcs;Acesso à memória
uhsaxvs;ULA
lfmpl;Acesso a memória com PF
movthi;ULA
ldmdale;Acesso à memória múltiplo
bmi;Desvios
ldmdals;Acesso à memória múltiplo
msr;Coprocessadores
ldc;Coprocessadores
mvnsmi;ULA
strtvs;Acesso à memória
cfmsub32cs;Coprocessadores
powvsez;ULA com PF
rsceq;ULA
strge;Acesso à memória
subeq;ULA
smlsdxlt;Coprocessadores
ldmmi;Acesso à memória múltiplo
rsbscs;ULA
stmda;Acesso à memória múltiplo
cfmadd32vs;Coprocessadores
smlatbeq;Coprocessadores
stmdagt;Acesso à memória múltiplo
mrsmi;Coprocessadores
vmoveq.16;Operações com vetores
ldrbmi;Acesso à memória
sbcseq;Acesso à memória
strt;Acesso à memória
cfmadd32eq;Coprocessadores
subscc;ULA
strtlt;Acesso à memória
ldrdeq;Acesso à memória
mvngt;ULA
cfstr32pl;Coprocessadores
uhsaxmi;ULA
teqpl;ULA
stfpls;Acesso a memória com PF
mrrclt;Coprocessadores
ldclvs;Coprocessadores
ldrble;Acesso à memória
mul;ULA
mvnlt;ULA
stmdavc;Acesso à memória múltiplo
bgt;Desvios
stmdbcc;Acesso à memória múltiplo
popeq;Pilha
cfstrdne;Coprocessadores
smlabteq;Coprocessadores
strmi;Acesso à memória
cfmulscs;Coprocessadores
cdple;Coprocessadores
vhadd.u8;Operações com vetores
subscs;ULA
stfles;Acesso a memória com PF
stmib;Acesso à memória múltiplo
mrcvc;Coprocessadores
cfmadda32cs;Coprocessadores
mrrcne;Coprocessadores
cfstrseq;Coprocessadores
rsb;ULA
tstne;ULA
strhne;Acesso à memória
smlabbeq;Coprocessadores
eorsvc;ULA
streq;Acesso à memória
stcne;Coprocessadores
ldmib;Acesso à memória múltiplo
ldmcc;Acesso à memória múltiplo
eorscs;ULA
movwvs;ULA
ldmibhi;Acesso à memória múltiplo
rsbvc;ULA
strlt;Acesso à memória
strheq;Acesso à memória
stmdble;Acesso à memória múltiplo
stmdale;Acesso à memória múltiplo
